Item Code,Item Name,Raw Barcode,Clean Barcode,Changed
3636,اساور استيل شانل,363636,363636,0
6666,اساور استيل ماركة مع الخاتم,666666,666666,0
2525,اساور زركون مع الخاتم ملون,252525,252525,0
6363,اساور زركون طوابق,636363,636363,0
8.2352,اساور زركون بناتي,8.23528.2352,8235282352,1
5561,اساور كرستال مع الخاتم,55615561,55615561,0
113135,اطواق فيونكه 3 حبه كرت 8 شكل,6220221131350,6220221131350,0
113317,اطواق راقي 9 موديل 6/9,6972202211284,6972202211284,0
113341,اطواق صوف 2 حبه كرت 6 شكل,6983521875422,6983521875422,0
113342,اطواق قماش 3 حبه كرت 8 موديل,6980056655680,6980056655680,0
113345,اطواق لولو 2 حبه كرت 7 موديل,6913711133452,6913711133452,0
113390,اطواق شتوي عدد 4 شكل 3,6920240928015,6920240928015,0
6972202211,اطواق راقي 8 اشكال 2,697220221128,697220221128,0
00020,00020,8904047600020,8904047600020,0
003-4560,003-4560,6288002810733,6288002810733,0
003-4561,003-4561,6288002810740,6288002810740,0
003-4562,003-4562,6288002810757,6288002810757,0
003-4563,003-4563,6288002810764,6288002810764,0
003-4564,003-4564,6288002810771,6288002810771,0
003-4565,003-4565,6288002811457,6288002811457,0
003-4566,003-4566,6288002811471,6288002811471,0
003-4568,003-4568,6288002811488,6288002811488,0
003-4570,003-4570,6288002811440,6288002811440,0
01111,حزامات عريض,50001111,50001111,0
01111,حزامات جنيهات صغير,50002331,50002331,0
01149,01149,4000196901149,4000196901149,0
01163,01163,4000196901163,4000196901163,0
01187,01187,4000196901187,4000196901187,0
01289,01289,5017007601289,5017007601289,0
0285425,0285425,3014260285425,3014260285425,0
0351,0351,010181040351,010181040351,0
04736,04736,077043104736,077043104736,0
060524,060524,6926770577150,6926770577150,0
064-7,064-7,6971606200641,6971606200641,0
06661,اساور رجالي جلد,2580607306661,2580607306661,0
06732,سريوم اكليل الجبل,854102006732,854102006732,0
08663,08663,6912347908663,6912347908663,0
09276,09276,6923656109276,6923656109276,0
10004,10004,540010004,540010004,0
10110,10110,110110110,110110110,0
10111,10111,110110111,110110111,0
10112,10112,110110112,110110112,0
10113,10113,110110113,110110113,0
10114,10114,110110114,110110114,0
10115,10115,110110115,110110115,0
10116,10116,110110116,110110116,0
10117,10117,110110117,110110117,0
10118,10118,110110118,110110118,0
10119,10119,110110119,110110119,0
10122,10122,110110122,110110122,0
10133,10133,6920257910133,6920257910133,0
1014,1014,3846441975494,3846441975494,0
1014,1014,6971606210145,6971606210145,0
1016A,1016A,2282471632685,2282471632685,0
1017,1017,5572616423399,5572616423399,0
1017A,1017A,6971606210176,6971606210176,0
1018,1018,18260513,18260513,0
10183,10183,3944841810183,3944841810183,0
10188,10188,6920257910188,6920257910188,0
10323,اساور كف,7998194610323,7998194610323,0
1036,شفرات حواجب فلمنجو,4902470171036,4902470171036,0
10379,10379,6947247910379,6947247910379,0
10430,10430,6920257910430,6920257910430,0
10447,10447,6920257910447,6920257910447,0
10485,10485,6920257910485,6920257910485,0
10539,10539,6920257910539,6920257910539,0
105392,105392,8998866105392,8998866105392,0
10540,10540,5395173310540,5395173310540,0
10584,10584,6920257910584,6920257910584,0
10591,10591,6920257910591,6920257910591,0
10607,10607,6920257910607,6920257910607,0
10683,10683,6920257910683,6920257910683,0
10922,10922,6979077910922,6979077910922,0
10966,10966,6920257910966,6920257910966,0
109800,109800,6958376109800,6958376109800,0
11013,11013,11011013,11011013,0
11024,11024,6920257911024,6920257911024,0
11031,11031,6920257911031,6920257911031,0
11083,11083,3337872411083,3337872411083,0
1110,1110,10011101110,10011101110,0
11111,11111,4000111111,4000111111,0
1111111111,محمد,1111111111111111111111,1111111111111111111111,0
113360,ربطة جبين عريض 10 موديل 9/3/7,6985765322168,6985765322168,0
113371,طقم كلبس مع ربطه 10 موديل 2/3,6920251133712,6920251133712,0
113388,طوق بندانه 11 موديل 5/8,6985632932148,6985632932148,0
113391,ربطة شتوي 2 حبة كرت عدد 4 اشكال 1/3,6923654822139,6923654822139,0
1161,باكت مزيل مناكير,6946051201161,6946051201161,0
