Item Code,Item Name,Barcode,Brand,Supplier,Brand Source,Supplier Source
3636,اساور استيل شانل,363636,شانل,,Inferred from item name,No supplier rows in product_supplierinfo dump section
6666,اساور استيل ماركة مع الخاتم,666666,,,Not found in dump,No supplier rows in product_supplierinfo dump section
2525,اساور زركون مع الخاتم ملون,252525,,,Not found in dump,No supplier rows in product_supplierinfo dump section
6363,اساور زركون طوابق,636363,,,Not found in dump,No supplier rows in product_supplierinfo dump section
8.2352,اساور زركون بناتي,8.23528.2352,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5561,اساور كرستال مع الخاتم,55615561,,,Not found in dump,No supplier rows in product_supplierinfo dump section
113135,اطواق فيونكه 3 حبه كرت 8 شكل,6220221131350,,,Not found in dump,No supplier rows in product_supplierinfo dump section
113317,اطواق راقي 9 موديل 6/9,6972202211284,,,Not found in dump,No supplier rows in product_supplierinfo dump section
113341,اطواق صوف 2 حبه كرت 6 شكل,6983521875422,,,Not found in dump,No supplier rows in product_supplierinfo dump section
113342,اطواق قماش 3 حبه كرت 8 موديل,6980056655680,,,Not found in dump,No supplier rows in product_supplierinfo dump section
113345,اطواق لولو 2 حبه كرت 7 موديل,6913711133452,,,Not found in dump,No supplier rows in product_supplierinfo dump section
113390,اطواق شتوي عدد 4 شكل 3,6920240928015,,,Not found in dump,No supplier rows in product_supplierinfo dump section
6972202211,اطواق راقي 8 اشكال 2,697220221128,,,Not found in dump,No supplier rows in product_supplierinfo dump section
00020,00020,8904047600020,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4560,003-4560,6288002810733,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4561,003-4561,6288002810740,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4562,003-4562,6288002810757,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4563,003-4563,6288002810764,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4564,003-4564,6288002810771,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4565,003-4565,6288002811457,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4566,003-4566,6288002811471,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4568,003-4568,6288002811488,,,Not found in dump,No supplier rows in product_supplierinfo dump section
003-4570,003-4570,6288002811440,,,Not found in dump,No supplier rows in product_supplierinfo dump section
01111,حزامات عريض,50001111,,,Not found in dump,No supplier rows in product_supplierinfo dump section
