ID,Item Code,Price List,Rate,Currency,Selling,UOM,Buying,Item Name,Brand,Supplier
f9bd215a28,3636,Standard Selling SAR,10.00,SAR,1,,0,اساور استيل شانل,شانل,
dc01240272,3636,Standard Buying,5.0,SAR,0,Nos,1,اساور استيل شانل,شانل,
ef81714087,6666,Standard Selling SAR,10.00,SAR,1,,0,اساور استيل ماركة مع الخاتم,,
15a79cf821,6666,Standard Buying,5.0,SAR,0,Nos,1,اساور استيل ماركة مع الخاتم,,
12c370fd09,2525,Standard Selling SAR,15.00,SAR,1,,0,اساور زركون مع الخاتم ملون,,
0c06bb74e1,2525,Standard Buying,10.83,SAR,0,Nos,1,اساور زركون مع الخاتم ملون,,
51920b9181,6363,Standard Selling SAR,6.00,SAR,1,,0,اساور زركون طوابق,,
8e54a6d167,6363,Standard Buying,3.0,SAR,0,Nos,1,اساور زركون طوابق,,
1a52f02d10,8.2352,Standard Selling SAR,8.20,SAR,1,,0,اساور زركون بناتي,,
ac3c3d6b9f,8.2352,Standard Buying,6.0,SAR,0,Nos,1,اساور زركون بناتي,,
e7923529f4,5561,Standard Selling SAR,11.76,SAR,1,,0,اساور كرستال مع الخاتم,,
79da999cc9,5561,Standard Buying,8.5,SAR,0,Nos,1,اساور كرستال مع الخاتم,,
2780311720,113135,Standard Selling SAR,0.00,SAR,1,,0,اطواق فيونكه 3 حبه كرت 8 شكل,,
43a92e6f27,113135,Standard Buying,0.96,SAR,0,Nos,1,اطواق فيونكه 3 حبه كرت 8 شكل,,
bf4a11b861,113317,Standard Selling SAR,0.00,SAR,1,,0,اطواق راقي 9 موديل 6/9,,
77e79b9c55,113317,Standard Buying,4.31,SAR,0,Nos,1,اطواق راقي 9 موديل 6/9,,
f8f67802d9,113341,Standard Selling SAR,0.00,SAR,1,,0,اطواق صوف 2 حبه كرت 6 شكل,,
2a25499c54,113341,Standard Buying,1.92,SAR,0,Nos,1,اطواق صوف 2 حبه كرت 6 شكل,,
26a67ffb6a,113342,Standard Selling SAR,0.00,SAR,1,,0,اطواق قماش 3 حبه كرت 8 موديل,,
6e09c9fb4e,113342,Standard Buying,3.64,SAR,0,Nos,1,اطواق قماش 3 حبه كرت 8 موديل,,
93b9a4db54,113345,Standard Selling SAR,0.00,SAR,1,,0,اطواق لولو 2 حبه كرت 7 موديل,,
be99e190f2,113345,Standard Buying,3.83,SAR,0,Nos,1,اطواق لولو 2 حبه كرت 7 موديل,,
490b90f5ca,113390,Standard Selling SAR,0.00,SAR,1,,0,اطواق شتوي عدد 4 شكل 3,,
cc2d9e1aee,113390,Standard Buying,3.83,SAR,0,Nos,1,اطواق شتوي عدد 4 شكل 3,,
b4c8d5b353,6972202211,Standard Selling SAR,7.01,SAR,1,,0,اطواق راقي 8 اشكال 2,,
aeef02708a,00020,Standard Buying,4.82,SAR,0,Nos,1,00020,,
57578789a9,003-4560,Standard Buying,13.75,SAR,0,Nos,1,003-4560,,
3526d968c5,003-4561,Standard Buying,13.75,SAR,0,Nos,1,003-4561,,
e27379598a,003-4562,Standard Buying,13.75,SAR,0,Nos,1,003-4562,,
268fe601f8,003-4563,Standard Buying,13.75,SAR,0,Nos,1,003-4563,,
7b2ae94810,003-4564,Standard Buying,13.75,SAR,0,Nos,1,003-4564,,
aa8aa40b9b,003-4565,Standard Buying,10.0,SAR,0,Nos,1,003-4565,,
8c0249646b,003-4566,Standard Buying,10.0,SAR,0,Nos,1,003-4566,,
7651c5faf6,003-4568,Standard Buying,10.0,SAR,0,Nos,1,003-4568,,
6cc8e621dc,003-4570,Standard Buying,10.0,SAR,0,Nos,1,003-4570,,
