Default Unit of Measure,Item Code,Item Group,Item Name,Maintain Stock,Opening Stock,Brand,Shelf Life In Days,End of Life,Has Expiry Date,Barcode (Barcodes),Re-order Qty (Reorder level based on Warehouse),UOM (UOMs),Default Price List (Item Defaults)
Nos,3636,اساور استيل,اساور استيل شانل,1,0,شانل,0,2099-12-31,0,363636,,Nos,
Nos,6666,اساور استيل,اساور استيل ماركة مع الخاتم,1,0,,0,2099-12-31,0,666666,,Nos,
Nos,2525,اساور زركون,اساور زركون مع الخاتم ملون,1,0,,0,2099-12-31,0,252525,,Nos,
Nos,6363,اساور زركون,اساور زركون طوابق,1,0,,0,2099-12-31,0,636363,,Nos,
Nos,8.2352,اساور زركون,اساور زركون بناتي,1,0,,0,2099-12-31,0,8235282352,,Nos,
Nos,5561,اساور كرستال,اساور كرستال مع الخاتم,1,0,,0,2099-12-31,0,55615561,,Nos,
Nos,113135,اطواق بالحبة,اطواق فيونكه 3 حبه كرت 8 شكل,1,0,,0,2099-12-31,0,6220221131350,,Nos,
Nos,113317,اطواق بالحبة,اطواق راقي 9 موديل 6/9,1,0,,0,2099-12-31,0,6972202211284,,Nos,
Nos,113341,اطواق بالحبة,اطواق صوف 2 حبه كرت 6 شكل,1,0,,0,2099-12-31,0,6983521875422,,Nos,
Nos,113342,اطواق بالحبة,اطواق قماش 3 حبه كرت 8 موديل,1,0,,0,2099-12-31,0,6980056655680,,Nos,
Nos,113345,اطواق بالحبة,اطواق لولو 2 حبه كرت 7 موديل,1,0,,0,2099-12-31,0,6913711133452,,Nos,
Nos,113390,اطواق بالحبة,اطواق شتوي عدد 4 شكل 3,1,0,,0,2099-12-31,0,6920240928015,,Nos,
Nos,6972202211,اطواق بالحبة,اطواق راقي 8 اشكال 2,1,0,,0,2099-12-31,0,697220221128,,Nos,
Nos,00020,اكسسوارات,00020,1,0,,0,2099-12-31,0,8904047600020,,Nos,
Nos,003-4560,اكسسوارات,003-4560,1,0,,0,2099-12-31,0,6288002810733,,Nos,
Nos,003-4561,اكسسوارات,003-4561,1,0,,0,2099-12-31,0,6288002810740,,Nos,
Nos,003-4562,اكسسوارات,003-4562,1,0,,0,2099-12-31,0,6288002810757,,Nos,
Nos,003-4563,اكسسوارات,003-4563,1,0,,0,2099-12-31,0,6288002810764,,Nos,
Nos,003-4564,اكسسوارات,003-4564,1,0,,0,2099-12-31,0,6288002810771,,Nos,
Nos,003-4565,اكسسوارات,003-4565,1,0,,0,2099-12-31,0,6288002811457,,Nos,
Nos,003-4566,اكسسوارات,003-4566,1,0,,0,2099-12-31,0,6288002811471,,Nos,
Nos,003-4568,اكسسوارات,003-4568,1,0,,0,2099-12-31,0,6288002811488,,Nos,
Nos,003-4570,اكسسوارات,003-4570,1,0,,0,2099-12-31,0,6288002811440,,Nos,
Nos,01111,اكسسوارات,حزامات عريض,1,0,,0,2099-12-31,0,50001111,,Nos,
Nos,01111,اكسسوارات,حزامات جنيهات صغير,1,0,,0,2099-12-31,0,50002331,,Nos,
Nos,01149,اكسسوارات,01149,1,0,,0,2099-12-31,0,4000196901149,,Nos,
Nos,01163,اكسسوارات,01163,1,0,,0,2099-12-31,0,4000196901163,,Nos,
Nos,01187,اكسسوارات,01187,1,0,,0,2099-12-31,0,4000196901187,,Nos,
Nos,01289,اكسسوارات,01289,1,0,,0,2099-12-31,0,5017007601289,,Nos,
Nos,0285425,اكسسوارات,0285425,1,0,,0,2099-12-31,0,3014260285425,,Nos,
Nos,0351,اكسسوارات,0351,1,0,,0,2099-12-31,0,010181040351,,Nos,
Nos,04736,اكسسوارات,04736,1,0,,0,2099-12-31,0,077043104736,,Nos,
Nos,060524,اكسسوارات,060524,1,0,,0,2099-12-31,0,6926770577150,,Nos,
Nos,064-7,اكسسوارات,064-7,1,0,,0,2099-12-31,0,6971606200641,,Nos,
Nos,06661,اكسسوارات,اساور رجالي جلد,1,0,,0,2099-12-31,0,2580607306661,,Nos,
Nos,06732,اكسسوارات,سريوم اكليل الجبل,1,0,,0,2099-12-31,0,854102006732,,Nos,
Nos,08663,اكسسوارات,08663,1,0,,0,2099-12-31,0,6912347908663,,Nos,
