Odoo Variant ID,Odoo Template ID,Item Code,Barcode,Buying Rate,Source File,Issue
422,593,S160005,ٍ160005,15.33,backup,Template row missing in dump
423,594,S160016,ٍ160016,15.33,backup,Template row missing in dump
424,595,S160008,ٍ160008,15.33,backup,Template row missing in dump
458,629,B293653,B293653,46.0,backup,Template row missing in dump
459,630,B292217,B292217,46.0,backup,Template row missing in dump
460,631,B293583,B293583,46.0,backup,Template row missing in dump
461,632,B293602,B293602,46.0,backup,Template row missing in dump
705,872,552869,5528699123923,2.3,backup,Template row missing in dump
726,893,B2939,B293996,40.25,backup,Template row missing in dump
727,894,B2935,B293561,46.0,backup,Template row missing in dump
728,895,B2937,B293719,46.0,backup,Template row missing in dump
738,905,B29390,B293907,40.25,backup,Template row missing in dump
739,906,B22939,B293998,46.0,backup,Template row missing in dump
740,907,B29364,B293641,46.0,backup,Template row missing in dump
741,908,B29398,B293985,46.0,backup,Template row missing in dump
742,909,B29371,B293717,46.0,backup,Template row missing in dump
924,1123,4646,464646,22.0,backup,Template row missing in dump
925,1124,4747,474747,22.0,backup,Template row missing in dump
926,1125,4848,484848,8.5,backup,Template row missing in dump
927,1126,4949,494949,4.5,backup,Template row missing in dump
928,1127,5050,505050,6.0,backup,Template row missing in dump
929,1128,5151,515151,6.0,backup,Template row missing in dump
930,1129,5252,525252,1.42,backup,Template row missing in dump
931,1130,5353,535353,1.5,backup,Template row missing in dump
932,1131,5454,545454,1.67,backup,Template row missing in dump
933,1132,5555,555555,1.25,backup,Template row missing in dump
934,1133,5656,565656,2.75,backup,Template row missing in dump
935,1134,5757,575757,3.0,backup,Template row missing in dump
936,1135,5858,585858,3.5,backup,Template row missing in dump
937,1136,5959,595959,2.5,backup,Template row missing in dump
938,1137,6060,606060,3.5,backup,Template row missing in dump
987,1186,AS-513513,513513513,7.0,backup,Template row missing in dump
988,1187,AS-3215,32153215,1.5,backup,Template row missing in dump
989,1188,AS-5046,50465046,5.5,backup,Template row missing in dump
990,1189,AS-4520-2,4520245202,4.5,backup,Template row missing in dump
991,1190,AS-4932,49324932,2.92,backup,Template row missing in dump
992,1191,AS-5348,53485348,2.67,backup,Template row missing in dump
993,1192,AS-5349,125125125,1.6,backup,Template row missing in dump
